Timestamp,What type of music do you usually listen to at different times of the day? [Morning],What type of music do you usually listen to at different times of the day? [Afternoon],What type of music do you usually listen to at different times of the day? [Evening],What type of music do you usually listen to at different times of the day? [Night],What type of music do you prefer based on the weather?  [For Rainy Weather],What type of music do you prefer based on the weather?  [Non-Rainy Weather],What type of music do you prefer based on the temperature?  [When the temperature is high (above 30°C)],What type of music do you prefer based on the temperature?  [When the temperature is low],What type of music do you prefer based on the brightness of your environment?  [In dim light],What type of music do you prefer based on the brightness of your environment?  [In bright light]
05/10/2024 10:59:20,"Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 11:00:35,"Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)"
05/10/2024 11:03:27,"Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)"
05/10/2024 11:03:46,"Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 11:04:23,"Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)"
05/10/2024 11:06:06,"Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)"
05/10/2024 11:07:22,"Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 11:08:37,"Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 11:09:30,"Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)"
05/10/2024 11:10:25,"Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 11:11:45,"Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)"
05/10/2024 11:11:55,"Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)"
05/10/2024 11:14:06,"Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)"
05/10/2024 11:14:34,"Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 11:15:26,"Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)"
05/10/2024 11:16:50,"Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 11:21:28,"Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 11:21:56,"Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)"
05/10/2024 11:22:05,"Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)"
05/10/2024 11:22:21,"Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 11:27:51,"Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)"
05/10/2024 11:28:15,"Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
